time,Ex,Ey
0.155,-3.054195587,-0.586272868
0.156,-3.046781946,-0.585509127
0.157,-3.039378201,-0.584698567
0.158,-3.031984685,-0.583841336
0.159,-3.024601729,-0.582937583
0.16,-3.017229662,-0.581987462
0.161,-3.009868809,-0.580991132
0.162,-3.00251949,-0.579948754
0.163,-2.995182026,-0.578860493
0.164,-2.987856733,-0.577726519
0.165,-2.980543923,-0.576547003
0.166,-2.973243909,-0.575322122
0.167,-2.965956997,-0.574052057
0.168,-2.958683494,-0.572736992
0.169,-2.9514237,-0.571377113
0.17,-2.944177918,-0.569972614
0.171,-2.936946444,-0.568523688
0.172,-2.929729573,-0.567030536
0.173,-2.922527598,-0.565493361
0.174,-2.915340809,-0.563912369
0.175,-2.908169493,-0.562287772
0.176,-2.901013935,-0.560619785
0.177,-2.893874418,-0.558908625
0.178,-2.886751223,-0.557154517
0.179,-2.879644626,-0.555357687
0.18,-2.872554905,-0.553518366
0.181,-2.865482331,-0.551636789
0.182,-2.858427176,-0.549713195
0.183,-2.851389708,-0.547747826
0.184,-2.844370192,-0.545740931
0.185,-2.837368893,-0.543692761
0.186,-2.830386072,-0.541603571
0.187,-2.823421987,-0.53947362
0.188,-2.816476894,-0.537303174
0.189,-2.809551048,-0.535092499
0.19,-2.802644699,-0.532841869
0.191,-2.795758096,-0.53055156
0.192,-2.788891485,-0.528221853
0.193,-2.78204511,-0.525853033
0.194,-2.775219212,-0.52344539
0.195,-2.768414028,-0.520999217
0.196,-2.761629794,-0.518514813
0.197,-2.754866741,-0.515992479
0.198,-2.748125101,-0.513432522
0.199,-2.741405099,-0.510835254
0.2,-2.734706958,-0.508200988
0.201,-2.7280309,-0.505530046
0.202,-2.721377141,-0.502822749
0.203,-2.714745895,-0.500079426
0.204,-2.708137373,-0.49730041
0.205,-2.701551782,-0.494486035
0.206,-2.694989325,-0.491636642
0.207,-2.688450203,-0.488752577
0.208,-2.681934611,-0.485834186
0.209,-2.675442742,-0.482881823
0.21,-2.668974784,-0.479895843
0.211,-2.662530922,-0.476876607
0.212,-2.656111335,-0.473824479
0.213,-2.6497162,-0.470739826
0.214,-2.643345687,-0.467623019
0.215,-2.636999963,-0.464474434
0.216,-2.630679191,-0.461294449
0.217,-2.624383528,-0.458083446
0.218,-2.618113126,-0.454841808
0.219,-2.611868133,-0.451569926
0.22,-2.60564869,-0.448268189
0.221,-2.599454934,-0.444936992
0.222,-2.593286997,-0.441576732
0.223,-2.587145004,-0.438187808
0.224,-2.581029075,-0.434770622
0.225,-2.574939323,-0.431325579
0.226,-2.568875857,-0.427853085
0.227,-2.562838778,-0.424353549
0.228,-2.556828181,-0.42082738
0.229,-2.550844154,-0.417274992
0.23,-2.544886781,-0.413696797
0.231,-2.538956135,-0.410093211
0.232,-2.533052285,-0.406464648
0.233,-2.527175292,-0.402811527
0.234,-2.52132521,-0.399134263
0.235,-2.515502086,-0.395433276
0.236,-2.509705957,-0.391708981
0.237,-2.503936855,-0.387961799
0.238,-2.498194804,-0.384192145
0.239,-2.492479818,-0.380400437
0.24,-2.486791904,-0.376587091
0.241,-2.481131062,-0.372752522
0.242,-2.475497282,-0.368897143
0.243,-2.469890545,-0.365021367
0.244,-2.464310826,-0.361125603
0.245,-2.458758087,-0.357210258
0.246,-2.453232286,-0.353275739
0.247,-2.447733368,-0.349322448
0.248,-2.442261271,-0.345350784
0.249,-2.436815923,-0.341361142
0.25,-2.431397243,-0.337353915
0.251,-2.426005141,-0.333329491
0.252,-2.420639515,-0.329288254
0.253,-2.415300256,-0.325230581
0.254,-2.409987246,-0.321156848
0.255,-2.404700354,-0.317067423
0.256,-2.399439441,-0.312962667
0.257,-2.39420436,-0.30884294
0.258,-2.38899495,-0.304708589
0.259,-2.383811042,-0.30055996
0.26,-2.378652459,-0.29639739
0.261,-2.37351901,-0.292221206
0.262,-2.368410497,-0.288031732
0.263,-2.363326711,-0.283829281
0.264,-2.358267432,-0.279614158
0.265,-2.35323243,-0.27538666
0.266,-2.348221466,-0.271147075
0.267,-2.343234291,-0.266895681
0.268,-2.338270644,-0.262632747
0.269,-2.333330257,-0.258358531
0.27,-2.328412848,-0.254073284
0.271,-2.323518129,-0.249777243
0.272,-2.3186458,-0.245470635
0.273,-2.313795552,-0.241153676
0.274,-2.308967065,-0.236826573
0.275,-2.304160012,-0.232489518
0.276,-2.299374053,-0.228142693
0.277,-2.294608842,-0.223786267
0.278,-2.289864023,-0.219420398
0.279,-2.285139228,-0.21504523
0.28,-2.280434084,-0.210660894
0.281,-2.275748208,-0.206267509
0.282,-2.271081206,-0.201865182
0.283,-2.26643268,-0.197454003
0.284,-2.26180222,-0.193034053
0.285,-2.257189409,-0.188605394
0.286,-2.252593825,-0.18416808
0.287,-2.248015034,-0.179722146
0.288,-2.243452598,-0.175267617
0.289,-2.238906071,-0.1708045
0.29,-2.234375,-0.166332792
0.291,-2.229858927,-0.161852471
0.292,-2.225357386,-0.157363505
0.293,-2.220869906,-0.152865845
0.294,-2.216396012,-0.148359429
0.295,-2.211935221,-0.143844179
0.296,-2.207487047,-0.139320006
0.297,-2.203051001,-0.134786802
0.298,-2.198626587,-0.130244449
0.299,-2.194213307,-0.125692813
0.3,-2.18981066,-0.121131746
0.301,-2.185418142,-0.116561087
0.302,-2.181035247,-0.111980659
0.303,-2.176661464,-0.107390275
0.304,-2.172296286,-0.102789731
0.305,-2.1679392,-0.098178813
0.306,-2.163589695,-0.093557291
0.307,-2.159247258,-0.088924924
0.308,-2.154911379,-0.084281459
0.309,-2.150581545,-0.079626628
0.31,-2.146257248,-0.074960153
0.311,-2.141937979,-0.070281745
0.312,-2.137623232,-0.065591101
0.313,-2.133312504,-0.06088791
0.314,-2.129005294,-0.056171847
0.315,-2.124701105,-0.051442578
0.316,-2.120399445,-0.046699759
0.317,-2.116099825,-0.041943037
0.318,-2.111801761,-0.037172046
0.319,-2.107504775,-0.032386415
0.32,-2.103208393,-0.027585761
0.321,-2.098912151,-0.022769695
0.322,-2.094615586,-0.017937818
0.323,-2.090318247,-0.013089723
0.324,-2.086019686,-0.008224998
0.325,-2.081719466,-0.00334322
0.326,-2.077417155,0.001556037
0.327,-2.073112331,0.006473209
0.328,-2.068804579,0.011408736
0.329,-2.064493494,0.016363065
0.33,-2.060178678,0.02133665
0.331,-2.055859745,0.026329949
0.332,-2.051536314,0.031343426
0.333,-2.047208017,0.036377552
0.334,-2.042874493,0.041432802
0.335,-2.038535391,0.046509656
0.336,-2.034190368,0.051608601
0.337,-2.029839092,0.056730129
0.338,-2.025481239,0.061874736
0.339,-2.021116494,0.067042927
0.34,-2.01674455,0.072235211
0.341,-2.012365108,0.077452105
0.342,-2.007977879,0.082694131
0.343,-2.003582578,0.087961821
0.344,-1.99917893,0.093255715
0.345,-1.994766665,0.098576361
0.346,-1.990345518,0.103924317
0.347,-1.98591523,0.109300155
0.348,-1.981475544,0.114704457
0.349,-1.977026209,0.120137819
0.35,-1.972566974,0.125600855
0.351,-1.968097588,0.131094194
0.352,-1.963617801,0.136618486
0.353,-1.959127359,0.142174404
0.354,-1.954626006,0.147762644
0.355,-1.950113478,0.153383933
0.356,-1.945589505,0.159039027
0.357,-1.941053806,0.164728719
0.358,-1.936506088,0.170453844
0.359,-1.931946041,0.17621528
0.36,-1.927373336,0.182013959
0.361,-1.922787623,0.187850868
0.362,-1.918188524,0.193727065
0.363,-1.91357563,0.199643678
0.364,-1.908948497,0.205601922
0.365,-1.904306636,0.211603111
0.366,-1.899649511,0.217648664
0.367,-1.894976527,0.223740129
0.368,-1.890287026,0.229879197
0.369,-1.885580271,0.236067723
0.37,-1.880855438,0.242307753
0.371,-1.876111601,0.248601549
0.372,-1.871347714,0.254951627
0.373,-1.866562595,0.2613608
0.374,-1.861754899,0.26783222
0.375,-1.85692309,0.274369447
0.376,-1.852065412,0.280976515
0.377,-1.847179842,0.287658023
0.378,-1.842264042,0.294419248
0.379,-1.837315297,0.301266278
0.38,-1.832330434,0.308206193
0.381,-1.827305722,0.315247279
0.382,-1.822236747,0.322399322
0.383,-1.817118239,0.329673984
0.384,-1.811943854,0.3370853
0.385,-1.806705877,0.344650361
0.386,-1.801394815,0.352390249
0.387,-1.795998828,0.360331356
0.388,-1.79050292,0.368507297
0.389,-1.784887745,0.37696174
0.39,-1.779127798,0.385752776
0.391,-1.773188576,0.394959877
