Time,Ex,Ey
3.300000000000000155e-02,9.995190342009778739e-01,2.130994966220546072e+00
3.400000000000000244e-02,9.994875393699144128e-01,2.131994469570808626e+00
3.500000000000000333e-02,9.994550450513604023e-01,2.132993940926307008e+00
3.600000000000000422e-02,9.994215512778125143e-01,2.133993379287568715e+00
3.699999999999999817e-02,9.993870580827626249e-01,2.134992783655157211e+00
3.799999999999999906e-02,9.993515655007041421e-01,2.135992153029665719e+00
3.899999999999999994e-02,9.993150735671297857e-01,2.136991486411726981e+00
4.000000000000000083e-02,9.992775823185309214e-01,2.137990782802004830e+00
4.100000000000000172e-02,9.992390917923983373e-01,2.138990041201204395e+00
4.200000000000000261e-02,9.991996020272232437e-01,2.139989260610065891e+00
4.300000000000000350e-02,9.991591130624940531e-01,2.140988440029370832e+00
4.399999999999999745e-02,9.991176249386998220e-01,2.141987578459938035e+00
4.499999999999999833e-02,9.990751376973289188e-01,2.142986674902629396e+00
4.599999999999999922e-02,9.990316513808679133e-01,2.143985728358348108e+00
4.700000000000000011e-02,9.989871660328029090e-01,2.144984737828041332e+00
4.800000000000000100e-02,9.989416816976184332e-01,2.145983702312697972e+00
4.900000000000000189e-02,9.988951984207996571e-01,2.146982620813353115e+00
5.000000000000000278e-02,9.988477162488290650e-01,2.147981492331090259e+00
5.100000000000000366e-02,9.987992352291881204e-01,2.148980315867034196e+00
5.200000000000000455e-02,9.987497554103587083e-01,2.149979090422363903e+00
5.299999999999999850e-02,9.986992768418195832e-01,2.150977814998302762e+00
5.399999999999999939e-02,9.986477995740490332e-01,2.151976488596126114e+00
5.500000000000000028e-02,9.985953236585242143e-01,2.152975110217161259e+00
5.600000000000000117e-02,9.985418491477207059e-01,2.153973678862785235e+00
5.700000000000000205e-02,9.984873760951131771e-01,2.154972193534428371e+00
5.800000000000000294e-02,9.984319045551739435e-01,2.155970653233577838e+00
5.900000000000000383e-02,9.983754345833747434e-01,2.156969056961770992e+00
5.999999999999999778e-02,9.983179662361844064e-01,2.157967403720605137e+00
6.099999999999999867e-02,9.982594995710724062e-01,2.158965692511733980e+00
6.199999999999999956e-02,9.982000346465038643e-01,2.159963922336866293e+00
6.300000000000000044e-02,9.981395715219443243e-01,2.160962092197773909e+00
6.400000000000000133e-02,9.980781102578557551e-01,2.161960201096285061e+00
6.500000000000000222e-02,9.980156509156999922e-01,2.162958248034291930e+00
6.600000000000000311e-02,9.979521935579355185e-01,2.163956232013745318e+00
6.700000000000000400e-02,9.978877382480204616e-01,2.164954152036663082e+00
6.800000000000000488e-02,9.978222850504079311e-01,2.165952007105123478e+00
6.900000000000000577e-02,9.977558340305526796e-01,2.166949796221270486e+00
7.000000000000000666e-02,9.976883852549049969e-01,2.167947518387315586e+00
7.100000000000000755e-02,9.976199387909132632e-01,2.168945172605537319e+00
7.200000000000000844e-02,9.975504947070230610e-01,2.169942757878279060e+00
7.299999999999999545e-02,9.974800530726787295e-01,2.170940273207955684e+00
7.399999999999999634e-02,9.974086139583226984e-01,2.171937717597051787e+00
7.499999999999999722e-02,9.973361774353917131e-01,2.172935090048123463e+00
7.599999999999999811e-02,9.972627435763236070e-01,2.173932389563796086e+00
7.699999999999999900e-02,9.971883124545511956e-01,2.174929615146770523e+00
7.799999999999999989e-02,9.971128841445059399e-01,2.175926765799820917e+00
7.900000000000000078e-02,9.970364587216149488e-01,2.176923840525796461e+00
8.000000000000000167e-02,9.969590362623043100e-01,2.177920838327621844e+00
8.100000000000000255e-02,9.968806168439963145e-01,2.178917758208297695e+00
8.200000000000000344e-02,9.968012005451087898e-01,2.179914599170905465e+00
8.300000000000000433e-02,9.967207874450588756e-01,2.180911360218602990e+00
8.400000000000000522e-02,9.966393776242592484e-01,2.181908040354628930e+00
8.500000000000000611e-02,9.965569711641193429e-01,2.182904638582302326e+00
8.600000000000000699e-02,9.964735681470454631e-01,2.183901153905024373e+00
8.700000000000000788e-02,9.963891686564396721e-01,2.184897585326280645e+00
8.799999999999999489e-02,9.963037727767024565e-01,2.185893931849637983e+00
8.899999999999999578e-02,9.962173805932283965e-01,2.186890192478749384e+00
8.999999999999999667e-02,9.961299921924090528e-01,2.187886366217354883e+00
